According to this table, how many champions?	List those champions for different All-Star games.	List champions for different All-Star games.  74
which player was borned in 1980s.	which also in hemofarm ?	which player was borned in 1980s and in hemofarm ?	37
which drama series haven't ever ranked in the top 5	show its chinese title	show the chinese title of which drama series haven't ever ranked in the top 5	2
Grouping riders who uses Ducati 999 f07 with grid	using laps to group	Grouping riders who uses Ducati 999 f07 with laps.	77
What position did sid o'neill play football ?	Besides him, which player also played in the same position	Besides sid o'neill, which player also played in what position sid o'neill play football	17
what is the only player who is from netherlands ?	compare the amount to other nationalities	compare the amount of players who is from netherlands to nationalities except netherlands ?	110
where did the game on march 11 take place and how many people attended ?	how about on february 23	where did the game on february 23 take place and how many people attended ?	54
which player has the most wkts ?	how many ovrs did he have ?	how many ovrs of the player who has the most wkts ?	34
please list the teams that gained over 3 home wins.	Added less than 2 home losses	please list the teams that gained over 3 home wins and less than 2 home losses	22
which publication was honored the accolade singles of 1999 ?	Is select in those publications ?	Is select in publication which was honored the accolade singles of 1999 ?	32
show name and species authority grouped by family .	if grouped by the order ?	show name and species authority grouped by order.	39
group all the players by their pick number and nationality	only by the pick number	group all the players by their pick number	80
what is the rank of title platoon	what if top gun	what is the rank of title top gun	73
display player and his position that from former team chicago bulls	also display the pick	display player and his position and the pick that from former team chicago bulls	50
may I see all the institutions and their location ?	just those with capacity more than 1000	may I see the institutions and their location whose capacity is more than 1000	52
which publication ranked in the top ?	top 5 .	which publications ranked in top 5?	32
which couples ranked in top 5	Show their average vote percetage	Show the average vote percentage of couples ranked in top 5	21
which venue has a year larger than 2003 , and a position of 10th ?	list all competitions which got that position .	list all competitions which got a position of 10th .	104
which company did not have the usa headquarters ?	which has the largest market value in those companies ?	which has the largest market value in the company which did not have the usa headquarters ?	31
Who is ranked highest among performers with less than 48 points?	without the points limit	Who is ranked highest among performers?	66
from september11,2012 to november27,2012, show the total number of viewers	tell me that from october18,2011 to november27,2012	from october18,2011 to november27,2012, show the total number of viewers	91
what is the lowest market value with a headquarter of usa , and the rank larger than 3 ?	just take the ones has rank less than 5 .	what is the lowest market value with a headquarter of usa , and the rank less than 5 ?	31
Are there any title directed by larry mintz and written by ross brown ?	how many of them ?	how many of titles directed by larry mintz and written by ross brown ?	41
how many townships of every country	Only keep them whose pop. more than 25	how many townships of every country whose pop. more than 25	19
grouped by accompaniment, sort the titles by their recording date from early to late .	sort by the matrix from small to large .	grouped by accompaniment, sort the titles by their matrix from small to large .	92
after 2011, how many titles are directed by paris barclay ?	what about the other originalairdate?	before 2011, how many titles are directed by paris barclay ?	91
Which song has the maximal total ?	What is its televote ?	What is the televote of the song that has the maximal total ?	25
when was "le lapin magique" aired ?	when was "stardust" ?	when was "stardust" aired ?	112
how many television services grouped by package	how about by content	how many television services grouped by content	14
what team had 4 podiums ?	what about more then 4?	what team had more than 4 podiums	87
What is jury of the song "turning to you"?	Compare it to the song "rescue me".	Compare jury of the song "turning to you to the song "rescue me".	25
what is the total number of attendances in date september 27, september 30 and october 4 ?	just in date september 27	what is the total number of attendances in date september 27	106
show all seasons, ordered by the number of teams in ascending .	also show season mvp .	show all seasons and season mvp, ordered by the number of teams in ascending .	74
In which dates did boston blazers win the game ?	what if they loss ?	In which dates did boston blazers loss the game ?	95
Is robert c. scott both democratic and incumbent ?	remove incumbent	Is robert c. scott democratic	84
how many capacity did the stadium borough briggs could hold ?	what is the average of attendances for that stadium ?	what is the average of attendances for stadium borough briggs ?	4
Is ust growling tigers over 150 in men's ?	Is that team over 120 in women's ?	Is ust growling tigers over 120 in women's ?	93
when 6 is the w what is the pa ?	compare it to when 7 is the w	when 6 is the w or 7 is the w what is the pa ?	63
Is there any team which use ford cosworth dfx ?	is there any team which use that engine in the year 1984 ?	is there any team which use ford cosworth dfx in the year 1984 ?	27
which venue has the most total attendance	what about the least	which venue has the least total attendance	76
how many was there a locomotive built eariler than 1980?	how about later than 1960	how many was there a locomotive built later than 1960?	59
which members has a density people higher than 40 but has popluation in thousands lower than 9000 ?	if the density people higher than 50 ?	which members has a density people higher than 50 but has popluation in thousands lower than 9000 ?	79
what was the score for game 4 ?	what about game 5	what was the score for game 5 ?	72
how many songs have more than 2,000 televotes ?	sort those songs by televotes number .	sort songs which have more than 2,000 televotes by televotes number .	94
what was the average game when record was 16-63 ?	what about record 26-23	what was the average game when record was 26-23 ?	54
when there are 2 wins , how many poles are ?	then how many points?	when there are 2 wins , how many points?	87
show market value, assets, profits of companys which involved in banking ?	involved in retailing .	show market value, assets, profits of companys which involved in retailing ?	31
which team has gained the most points for	show top 5	show team of top 5 points for	56
which leading scorers participated in the league of year 1946-1947	show other leading scorers	which leading scorers participated in the league besides year 1946-1947	53
sum total seats of all elections	limit the share of votes below 30%	sum total seats of all elections which the share of votes below 30%	71
when detroit turbos is the opponent, what is the score ?	compare it to when new york saints is the opponent .	compare the score when detroit turbos is the opponent to when new york saints is the opponent .	95
which game received the most attendance, game 1 or game 2?	what about in all games	which game received the most attendance	82
when san francisco 49ers are the visitors, name the home teams ?	And the record is 2-1-0 ?	when san francisco 49ers are the visitors and the record is 2-1-0 , name the home teams ?	106
what was the title that had 13.82 u.s. viewers (millions) ?	What about 15.08?	what was the title that had 15.08 u.s. viewers (millions) ?	18
how many weeks in the season has the l1 streak ?	has the w1 streak ?	how many weeks in the season has the w1 streak ?	51
may I see the episodes which directed by adam davidson and teleplay by george pelecanos ?	directed by other person	may i see the episodes which directedby somone except adam davidson and teleplay by george pelecanos	40
which song has ranked 3rd in the table ?	who is its performer ?	who is performer of song which has ranked 3rd in the table ?	66
compare interview of north carolina to south carolina	How about kansas to alabama ?	compare interview of kansas to alabama	28
please give me the title of series 2	no. in series 7	please give me the title of series 7	41
what is the smallest home wins in the list ?	What about greatest ?	what is the greatest home wins in the list ?	22
what is the middle number in total ?	the largest ?	what is the largest number in total ?	105
how many role with dodgers listed here ?	grouped them for each year inducted.	grouped role with dodgers for each year inducted.	97
what home team has the most attendances?	what is the score of that home team ?	what is the score of home team has the most attendances?	117
which place has pokeris finally got ?	has nerri got ?	which place has nerri finally got ?	94
what is the gap between home team aberdeen and arbroath of socre	what about clyde and hibernian	what is the gap between home team clyde and hibernian of score	88
which couple has the highest vote percentage	the lowest	which couple has the lowest vote percentage	21
list ensembles whose silver medals in the top 3	just the top 1	list ensembles whose silver medals in the top 1	101
how many total attendances between november 1 to november 29 ?	if between october 4 to october 28 ?	how many total attendances between october 4 to october 28 ?	106
the title named "seth" was directed by who	what about the writer?	the title named "seth" was written by who	57
Who is the winner in the year 1940 ?	How about next year ?	Who is the winner in the year 1941 ?	24
what was the position of the player from montreal canadiens ?	what if from toronto maple leafs ?	what was the position of the player from toronto maple leafs ?	46
how many players are picked just after year 1970	how about after 1960	how many players are picked just after year 1960	80
what college did the player drafted after round 2 before pick 160 attend ?	what about pick 115?	what college did the player drafted after round 2 before pick 115 attend ?	110
Show all chassis produced after the year 1990 .	Sort them by year .	Show all chassis after the year 1990 and sort by year .	27
group all the opponents for different records.	from january 11, 1992 to january 7, 1995 .	group all the opponents from january 11, 1992 to january 7, 1995 for different records .	95
if the position is 12th , what was the series ?	what about position 6th	if the position is 6th , what was the series ?	87
I want to see the score of aberdeen against dumbarton, and brechin city against kilmarnock	remove brechin city against kilmarnock	I want to see the score of aberdeen against dumbarton	88
Are there writers who are also director?	list the titles of these writers	list the titles of writers who are also director	3
what are the names of the residential buildings?	show their sr no .	show sr no of names of the residential buildings .	38
what is the number of provincial captial where the province is northern cape ?	what's the area	what is the area where the province is northern cape ?	89
who are the all players ?	just show from college usc	who are the all players from college usc ?	33
which player has the height of 5' 11" and from college toledo	remove the college limit	which player has the height of 5' 11"	55
what is the smallest number for 102 when friendly of friendly , and an austria of greece ?	how about when croatia is south korea?	what is the smallest number for 102 when croatia is south korea ?	75
what is the only film whose director is alan metter?	what is his gross	what is the gross of the only film directed by alan metter?	73
In the place 1, 2, 3, show these artists	of those, which has the largest total ?	of the artists in the place 1, 2, 3, which has the largest total ?	25
show all production code which has more viewers than 4wab04	who written them?	show all writtenby of production which has more viewers than 4wab04	91
which weeks got the record of 1-0 or 3-0 ?	just got 4-0 ?	which weeks got the record of 4-0 ?	65
how many opponent does buffalo win(w)	how many lose(l)	how many opponent does buffalo lose(l)	5
which college has the player named robert pavlovic	if the player micheal jean-louis	which college has the player named micheal jean-louis	1
Show all titles with u.s. viewers (millions) greater than 15	grow them by no. in season	Show all titles with u.s. viewers (millions) greater than 15 grow by no. in season	18
In which years, the playoffs changes to conference finals	and show the regular season	show years and regular season when the playoffs changes to conference finals	61
which rider has a lap of 23 , grid smaller than 18 , and time +44.333 ?	show for all time periods.	which rider has a lap of 23 , grid smaller than 18 ?	77
show all november records when san francisco 49ers as home team .	when detroit lions as home team ?	show all november records when detroit lions as home team .	106
how many attendance with stadium being cotton bowl	how many with other stadiums	how many attendance with stadiums excluding cotton bowl	5
who had the high points dated march 13 ?	how about in date november 25	who had the high points dated november 25 ?	54
which team has more sec losses than sec wins ?	show the other teams	which team has not more sec losses than sec wins ?	81
How many seats are there in the second election?	what about third?	How many seats are there in the third election?	71
Which couple's result is not safe	what are their ranks	what are the ranks of couples whose result is not safe	21
what is tony o'sullivan 's county ?	what's his tally	what is tony o'sullivan 's tally?	78
how many artists participated in the song contest 2008 final ?	how many got the top 5 place ?	how many artists got the top 5 place ?	94
how many attendances were there in october 9, october 16 and october 23 ?	for all dates	how many attendances were there ?	108
from 1965 to 2012, how many players were there	and in the position forward	from 1965 to 2012, how many players were there in the position forward	26
what 's the team with stadium being glebe park	with stadium being stark's park	what 's the team with stadium being stark's park	4
which college did the player jon gott attend ?	get the rid of pick limit, how many different ones there?	how many different colleges there?	1
which team has more goals for than goals against ?	what are the goal difference of them ?	what are the goal difference of teams which has more goals for than goals against ?	36
how many re-election status in the list	how many others?	how many status besides re-election in the list	84
In which season, there are no award given	how many teams are there in that season ?	how many teams are there in season when there are no award given ?	74
In the episode whose number more than 550, which has the top 5 viewers ?	only show top 3	In the episode whose number more than 550, which has the top 3 viewers ?	111
Is the headquarter of exxonmobil equal to wells fargo ?	what about the industry ?	Is the industry of exxonmobil equal to wells fargo ?	31
average of vote percentage for couple gary and maria ?	for couple jessica and pavel ?	average of vote percentage for couple jessica and pavel ?	21
which production are aired the first ?	which one is later than it ?	which production are aired later than the first ?	49
What is the u.s. air date of "scare" ?	And its production code ?	What is the u.s. air date and production code of "scare" ?	29
which game site has a week later than 8 , and a result of l 20–7 or l 28–26 ?	how many are there?	how many game site has a week later than 8 , and a result of l 20–7 or l 28–26 ?	113
what is the average crowd with home team sydney ?	Compare it to hawthorn	Compare the average crowd with home team sydney to hawthorn	16
how much time did nicolas oliveira use in the 200 metre ?	which lane was he in ?	which lane was nicolas oliveira in ?	116
what is date , when result is 16-0 ?	How about 20-14 ?	what is date , when result is 20-14 ?	24
which university is the oldest according to founded year.	set scope to more enrollment than 2000 .	which university is the oldest according to founded year and has more enrollment than 2000 ?	96
list only home team which score 3 - 1 according to attendance descending	in ascending order	list only home team which score 3 - 1 according to attendance ascending	88
what is the avearge score when boston bruins play as opponent ?	show it of washington capitals .	show the avearge score when washington capitals play as opponent .	115
Let me see the greatest gross of director rob reiner	how do they compare to john hughes	Let me see the greatest gross of director john hughes	73
count the zero wins of all series .	what is podiums ?	count the zero podiums of all series .	70
which date is the team @ la clippers ?	show its high points and score	show the high points and score of the team @ la clippers ?	54
the maximum points in all dates .	just in november 1 ?	the maximum points in november 1 .	119
Did all the games happen in september?	if not, how about the count	how many games happen in september?	82
when new york islanders was the opponent, what were the scores	show the location/attendance	when new york islanders was the opponent, what were the location/attendance	58
which league cup has a total smaller than 1 ?	of them, which has a fa cup equals to 1 ?	of league cup has a total smaller than 1 , which has a fa cup equals to 1 ?	105
what 's the position of the player with a height of 2.06 and club of triumph lyubertsy ?	what's the positions of the players with other heights ?	what's the positions of the players with heights except 2.06 ?	37
what is the average tries for less than 117 points and less than 48 tries against ?	remove less than 48 tries against	what is the average tries for less than 117 points	56
In austin, texas, what is the challenge ?	In chicago, illinois ?	In chicago, illinois, what is the challenge ?	23
Is there any country whose mccain votes less than obama votes?	less than others votes	Is there any country whose mccain votes less than others votes?	15
sorted the agency using their number .	if using total evas	sorted the agency using total evas .	6
who was the opponent in the game held on february 4 ?	what about on february 7	who was the opponent in the game held on february 7 ?	54
which season # did "vanished" have ?	the "lady in the lake" ?	which season # did "lady in the lake" have ?	44
What network did the commentator harry neale appear?	What about gary green ?	What network did the commentator gary green appear?	30
which title is from 1952 ?	which is from 1949 ?	which title is from 1949 ?	43
which constituency, cork east or clare, has a better ratio of for (%) ?	show electorates in these two consituency .	show electorates in cork east or clare	11
how many poles were there in season 2000 ?	what about in the next season	how many poles were there in season 2001	87
Set scope to the utep, find the players acted as forward	What about center ?	Set scope to the utep, find the players acted as center ?	26
how many television services has hdtv but no ppv	how about has ppv but no hdtv	how many television services has ppv but no hdtv	14
what is the matrix value in 1923/12, with paramount issue equals to 12080	remove the paramount issue no. limit .	what is the matrix value in 1923/12 ?	92
name the opponent for prudential center	which game uses that location	which game uses prudential center	72
list the team with 12 points .	how about more than 50 points	list the team with more than 50 points	87
the median ends won of the skips	the largest ones ?	the largest ends won of the skips	42
what is the least amount of touchdowns scored on the chart ?	who is the player ?	which player get the least amount of touchdowns scored on the chart	8
what's the time difference between zhang lin and david carry	set scope to 150m ?	what's the 150m difference between zhang lin and david carry	116
List all the artist with top 5 total.	Show top 10.	List all the artist with top 10 total.	25
how many pf catagories are listed for the skip that had 3 for l	how is 4 for l	how many pf catagories are listed for the skip that had 4 for l	63
show the defensive end and guard player each college	remove guard	show the defensive end player each college	55
ordered by founded year as an ascending order, show all univerties and locations	in an descending order please.	ordered by founded year as an descending order, show all univerties and locations	96
what is the home team when the attendance was 1920 ?	of those teams, which got the score 0:1 ?	of the home team when the attendance was 1920, which got the score 0:1 ?	117
who was the challenge winner that original airdate is january 28 , 2009 ?	What is the location of it ?	What is the location that original airdate is january 28 , 2009 ?	23
which studio has a director of oliver stone ?	what is the studio's gross	what is the gross of the studio that has a director of oliver stone ?	73
name the highest year whose accolade is singles of 1999	what is its rank ?	what is rank of the highest year whose accolade is singles of 1999 ?	32
name season and series in which points were larger than 30	only show me season	name season in which points were larger than 30	70
for the rank 1, how much time does she use ?	which name is just more than it ?	which name is just more than the time of rank 1 ?	69
what country's change (2010 to 2011) was the most?	how about the change (2011 to 2012)	what country's change (2011 to 2012) was the most?	9
according to this table, did chicago marathon or boston marathon ranked higher in position ?	In addition to these competitions, which event rank the highest ?	In addition to chicago marathon and boston marathon, which event rank the highest ?	104
Which position has 2 or more players	of these, which is most	Which position has the most players	50
what is the score for the game less than 21 , and of antonio davis had the high rebounds ?	and the team is new jersey	what is the score for the game less than 21 , and of antonio davis had the high rebounds and team is new jersey?	54
leading scorer that has a goal smaller than 23 , and a league of football league division 3 , and a year of 1997 -- 98 is who ?	remove the league of football league division 3	leading scorer that has a goal smaller than 23 and a year of 1997 -- 98 is who ?	53
what is the lowest money when the place is t2 ?	how's it going when place is t3 ?	what is the lowest money when the place is t3 ?	98
who directed the episode with a production code of 4wab05 ?	tell me the total u.s. viewers (million) of production directed by him	tell me the total u.s. viewers (million) of production by person who directed the episode with a production code of 4wab05 ?	91
from february23,2005 to april27,2005, show the titles.	only show the titles with top 2 u.s. viewers .	from february23,2005 to april27,2005, show the titles with top 2 u.s. viewers .	29
in electorate of 83850 what is the minimum s split vote	How is it in other electorates?	In electorates excluding 83850 what is the minimum s split vote	11
how many players did limerick have in the top 10 ranks?	how about in the top 5 ranks?	how many players did limerick have in the top 5 ranks?	78
show year, chassis of every team .	sort by year .	show year, chassis of every team and sort by year .	27
how many roles are from studio paramount ?	list all titles from that studio .	list all titles from thstudio paramount .	43
what is the gap in the number of electorates between cork south–west and cork south–central	pay attention to the gap in for (%) .	what is the gap in for (%) between cork south–west and cork south–central	11
how many different directors in the table ?	how about roles ?	how many different roles in the table ?	43
who led in assists on january 17 , and with how many ?	how about on november 28	who led in assists on november 28 , and with how many ?	54
what is the number of opponent that the new york rangers had between march 1 and march 24?	between march 8 and march 29 ?	what is the number of opponent that the new york rangers had between march 8 and march 29 ?	115
Show the provinces that have more % 2001 than % 2011	sort by % 2011	Show the provinces that have more % 2001 than % 2011 and sort by % 2011	20
How many weeks has the game been held at the war memorial stadium?	in which has the attendance more than 45000	How many weeks has the game been held at the war memorial stadium has the attendance more than 45000?	51
which competition got the attendances of 1,558 ?	which got the most for all competitions?	which competition got the most attendances for all competitions?	120
of the ten astronaut who is between 11 and 20, which has the most total evas ?	between 1 and 10	of the ten astronaut who is between 1 and 10, which has the most total evas ?	6
sum of the league cup number and fa cup number of scott dann category.	just show the number of league cup .	league cup number of scott dann category.	105
what is the date of season when carolina panthers is the opponent ?	when dallas cowboys is the opponent ?	what is the date of season when dallas cowboys is the opponent ?	47
Which television service provides the content is primafila film	In addition to this content, what service providers are there?	Which television service provides the content which is not primafila film	14
how many different classed for each class position	list the largest number	what's the largest number of different classes for each class position	83
Display couples with top 5 rank	What about top 7	Display couples with top 7 rank	21
what red list is in the artiodactyla order ?	which is in the soricomorpha order ?	what red list is in the soricomorpha order ?	39
In the list which has seats more than 47, sort these election results by the votes in ascending order	sort them by dáil in ascending order again	In the list which has seats more than 47, sort these election results by dáil in ascending order	71
what was curbeam robert l. curbeam' total time for the spackwalk record?	show the number of total evas of him	show the number of total evas of curbeam robert l. curbeam	6
which stadium has the most capacity ?	which get the highest attendance ?	which stadium get the highest attendance?	4
how many astronaut have total evas greater than 7?	equal to ?	how many astronaut have total evas equal to 7?	6
how many drivers ran 217 laps ?	then what about 10 more laps	how many drivers ran 227 laps?	83
list ends won and end lost in prince edward island	just list ends won	list ends won in prince edward island	42
what were the industry of hsbc ?	where is its headquarter ?	where is the headquarter of hsbc ?	31
what is the lowest round for brandon wheat kings ?	the highest one ?	what is the highest round for brandon wheat kings ?	64
compare ends won of prince edward island to nova scotia .	try ends lost	compare ends lost of prince edward island to nova scotia .	42
I'd like the list of all paramount issue number .	which is less than 12082 ?	which paramount issue number is less than 12082 ?	92
has houston comets been the champion of season 1999?	the season mvp ?	has houston comets been the season mvp of season 1999?	74
grouped by result, list the number of different awards .	how about by work ?	grouped by work, list the number of different awards .	118
Sort the chassises by start .	by finish .	Sort the chassises by finish .	27
if the province is nunavut , what is the arabs 2011 amount ?	compare it to province alberata	compare the arabs 2011 amount of province nunavut to province alberata	20
which cup received the most attendance from tie 1 to 5	what about the least	which cup received the least attendance from tie 1 to 5	88
which title is written by kurt kurt sutter and directed by paris barclay ?	how many title it produced by them?	how many title is written by kurt kurt sutter and directed by paris barclay ?	91
group all these players into different nfl teams.	how many of them for each position ?	how many of players for each position ?	114
Show the provinces with the arabs 2011 at least 60,000?	Average arabs 2011 of them.	Average arabs 2011 of the provinces with the arabs 2011 at least 60,000.	20
how many livery were maroon in the list	how many for other livery?	how many livery were besides maroon in the list	59
what is the highest longitude for county mountrail?	What is the lowest latitude for that county ?	What is the lowest latitude for county mountrail?	19
just in 20 july 1997, how many results in the list	18 july 1997	just in 18 july 1997, how many results in the list	99
show name and locale for all mixed use buildings .	also show the height .	show name and locale and height for all mixed use buildings .	38
which player made the most touchdowns while in the position of left halfback ?	for other positions ?	which player made the most touchdowns while in the positions excluding left halfback ?	8
show the team nickname and team website for all teams	remove team websites	show the team nickname for all teams	52
what place had a score smaller than 74 and a par of e ?	what if larger than 68 ?	what place had a score larger than 68 and a par of e ?	67
how many constituency has more against (%) than their for (%) ?	how is it for those who has more for (%) than against (%) ?	how many constituency has more for (%) than against (%)?	11
set scope to engine infiniti, filter the teams use them.	What about oldsmobile ?	set scope to engine oldsmobile, filter the teams use them.	27
how many points are there when the lost is 26 ?	what about the lost is 20	how many points are there when the lost is 20?	85
what was the position of lewis ?	I mean the tim lewis	what was the position of tim lewis ?	114
sum of heats per nationality	sorted them by rank	sorted heats per nationality by rank	116
which players from argentina got money more than 1,000	of those, whose money are more than 3,000 ?	of players from argentina who got money more than 1,000, whose money are more than 3,000 ?	98
the college where got the smallest pick No. ?	how many players come from it ?	how many players come from the college where got the smallest pick No. ?	33
can you tell me studio host, play-by-play and colour commentator in year 1994 ?	in 1995	can you tell me studio host, play-by-play and colour commentator in year 1995 ?	30
which super g had a slalom of less than 5 when the giant slalom was 1 ?	which earned the most in overall of those?	which super g earned the most in overall had a slalom of less than 5 when the giant slalom was 1 ?	90
how many episodes was story by david simon ?	other person	how many episodes was story by other person except david simon?	40
which goals for has a team of congleton town , and a lost larger than 11 ?	what about 15, and also show the position .	which goals for and position has a team of congleton town , and a lost larger than 15 ?	36
what was the original air date of the title that was directed by alex zakrzewski ?	show its u.s. viewers (millions)	show the u.s. viewers (millions) that was directed by alex zakrzewski	18
what is the total number of "uk" on the list?	how about other nationalities ?	what is the total number of nationalities except uk on the list?	102
show processor speed, voltage center and voltage range ordered by processor speed and voltage center	remove voltage range	show processor speed, voltage center ordered by processor speed and voltage center	60
on which date was the high assists delonte west earl watson ?	show the team and record	show the team and record that the high assists delonte west earl watson ?	54
which recording was just after 1599 ?	which was before 1698 ?	which recording was just before 1698 ?	92
Who is ranked highest among performers with less than 48 points?	less than 38 point ?	Who is ranked highest among performers with less than 38 points?	66
average of attendances for each date .	sum of them of every home team ?	sum of attendances of every home team ?	117
compared to episode number 5, which episode has the orginal airdate later	Among them, show the challege winner is man.	compared to episode number 5, which episode has the orginal airdate later and the challege winner is man?	23
Which TVB series occupied the 1 place in the rank?	the next rank?	Which TVB series occupied the 2 place in the rank?	2
ordered by points for, name teams in the list	by ascending order	name teams in the list by points for in ascending order	56
show the teams whose home wins greater than home losses .	the average home wins of them	the average home wins of the teams whose home wins greater than home losses .	22
please list the total number of title with the production code 447009 .	remove total number	please list all title with the production code 447009.	41
how many people directed episode 3 in the season ?	what about 4 in the season	how many people directed episode 4 in the season ?	86
Is george reynolds located in the top 10 position	then how about top 5	Is george reynolds located in the top 5 position	83
what's the gap between the largest gross profit and the least gross profit?	what about the second	what's the gap between the second largest gross profit and the second least gross profit?	73
how many players who has ever in 1st rank from county offaly	limit them total below 13	how many players who has ever in 1st rank from county offaly and has total below 13	78
when the result 45-17 was got, where is the location	How about the winner?	when the result 45-17 was got, who is the winner	24
which tournaments got the result of 21st ?	how many are relevant to heptathlon ?	how many tournaments got the result of 21st are relevant to heptathlon ?	48
which players were borned at the latest ?	how about earliest ?	which players were borned at the earliest ?	37
After the week 6, which opponents won the result of the match	how about before week 10 ?	before week 10, which opponents won the result of the match	51
how many institutions are public in the list ?	how is it for other types ?	how many institutions for all types excluding public in the list ?	100
count of different locales here .	how many have residential buildings ?	how many different locales have residential buildings ?	38
does the sky calcio 6 hd have ppv ?	does the sky calcio 5 hd have it ?	does the sky calcio 5 hd have ppv ?	14
show all artists sorted in ascending order by televote .	by the place from small to large .	show all artists sorted the place from small to large .	94
how many times does south korea appear in the table	show san marino	how many times does san marino appear in the table	75
which game site has an opponent of buffalo bills ?	in those, which has attendance up to 66,949 ?	in game sites which has an opponent of buffalo bills, which has attendance up to 66,949 ?	113
sort the total Hurling in number order	then sort according to rank ascending	sort the total Hurling in number order then by rank ascending	78
what is the height of domen lorbek ?	how about his position ?	what is the position of domen lorbek ?	37
list republican of all districts	what about republican that libertarian is not none	list republican that libertarian is not none	84
has the number of total seats been on the rise in the past decade?	what about share of votes	has the number of share of votes been on the rise in the past decade?	71
what is the current club of the player with a height less than 1.95 ?	what is the position ?	what is the position of the player with a height less than 1.95 ?	37
name the french title for english title of "inventor bunnies" .	also show the english title of "magic rabbit" .	name the french title for english title of "inventor bunnies" and the english title of "magic rabbit" .	112
what was the location attendance when high points was by pierce?	where the record is 3-2	what was the location attendance when high points was by pierce and the record is 3-2?	54
name the 1st player listed on the table.	the 2nd player	name the 2nd player listed on the table.	50
what is the lowest round for the player claude periard ?	and his position and nationality?	what is the lowest round and position and nationality for the player claude periard ?	64
what country does david gilford play for ?	how about arron oberholser and markus brier ?	what countries does arron oberholser and markus brier play for ?	67
which league cup received more than 5000 attendances	how about less than 3000	which league cup received less than 3000 attendances	88
Find all locations, that challege winner realted to man .	Show their original airdates .	Show the original airdates, that challege winner realted to man .	23
which player was pick 2 later than 2010 ?	pick 4 later than 2000 ?	which player was pick 4 later than 2000 ?	33
which title has the least u.s. viewers (million) ?	the most ?	which title has the most u.s. viewers (million) ?	29
how many different competitions grouped by event name ?	if by position ?	how many different competitions grouped by position ?	104
Which province has a population of 10456900	what's the largest city of it	what's the largest city of the province has a population of 10456900	89
what is the average attendances in the table ?	how about the maximum ?	what is the maximum attendances in the table ?	76
